aliveTime,authTime,connectTime,httpType,ipAddress,position,speed
,,,,,,
10天,2017/6/15 7:55,0.051,HTTPS,222.85.50.157:808,河南平顶山,0.258
,,,,,,
79天,2017/6/15 7:54,1.259,HTTP,119.5.0.47:808,四川南充,6.295
,,,,,,
78天,2017/6/15 7:51,0.07,HTTP,221.229.47.197:808,江苏扬州,0.353
,,,,,,
18天,2017/6/15 7:51,0.054,HTTPS,115.220.147.63:808,浙江宁波,0.271
,,,,,,
6分钟,2017/6/15 7:50,0.045,HTTPS,115.220.146.64:808,浙江宁波,0.226
,,,,,,
6分钟,2017/6/15 7:50,0.071,HTTPS,153.36.121.211:808,江苏,0.358
,,,,,,
2天,2017/6/15 7:45,0.101,HTTPS,122.241.74.77:808,浙江丽水,0.507
,,,,,,
18天,2017/6/15 7:44,0.229,HTTPS,119.5.0.83:808,四川南充,1.148
,,,,,,
